countryName,countrycode,yr_2013_rank,yr_2014_h1_rank,yr_2014_h2_rank,yr_2015_h1_rank,yr_2015_h2_rank,yr_2016_h1_rank,yr_2016_h2_rank,yr_2017_h1_rank,yr_2017_h2_rank,yr_2018_h1_rank,yr_2018_h2_rank,yr_2019_h1_rank,yr_2019_h2_rank,yr_2020_h1_rank,yr_2020_h2_rank
Brazil,BRA,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3
Canada,CAN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Egypt,EGY,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1
Indonesia,IDN,1,2,2,2,2,2,2,2,3,3,3,3,2,2,2
Mexico,MEX,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
South Africa,ZAF,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Thailand,THA,3,3,3,3,3,1,1,1,2,2,2,2,3,2,2
United States,USA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Venezuela,VEN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
